true_code,text,predicted_code,similarity_score,predicted,in_top_5
H6592,left serous otitis media,H6502,0.9833945,0,0
M7592,Left Shoulder Lesion,M7582,0.9752548,0,1
S62512A,Left thumb proximal phalanx closed displaced fracture,S62512A,0.9816851,1,1
M21332,left wrist drop,M21332,0.9913981,1,1
L439,lichen planus,L438,0.96214104,0,1
E882,Lipomatosis,E882,0.92926455,1,1
T56892A,lithium,L80,0.89048827,0,0
Z889,lithium,L80,0.89048827,0,0
L97909,Lower extremity arterial ulceration,I83023,0.92569506,0,0
A6920,Lyme disease,A6920,0.9482746,1,1
D7589,Macrocytosis,Q753,0.94506466,0,0
P541,melena,K921,0.99999976,0,1
A399,meningococcal,A390,0.9826313,0,0
R065,mouth breathing,R065,0.9999998,1,1
B465,mucormycosis,B463,0.9703963,0,1
B269,mumps,B261,0.9521885,0,0
C480,"neoplasm, retroperitoneal",C480,0.9656309,1,1
F488,nervous breakdown,T85615D,0.91826963,0,0
E048,nodular goiter,E042,0.92692053,0,0
I6609,occlusion of middle cerebral artery,I6602,0.9721148,0,1
L601,Onycholysis,L601,1.0000001,1,1
S0120XA,open wound,S01502D,0.91888255,0,0
S3120XA,open wound,S01502D,0.91888255,0,0
S81809A,open wound,S01502D,0.91888255,0,0
S61402A,Open wound to left hand,S61402D,0.94736457,0,1
S51002A,"Open wound, left elbow",S51002D,0.9566955,0,1
M816,osteoporosis,Z8262,0.9359154,0,0
Z90410,pancreatectomy,K903,0.901394,0,0
M623,Paraplegic immobility syndrome,M623,0.99156773,1,1
F409,phobia,F408,0.94275284,0,1
O139,PIH,L946,0.9079941,0,0
R561,post traumatic seizure,R561,0.99652004,1,1
P0821,Post-term infant,P0821,0.9869401,1,1
N477,Posthitis,B0224,0.9344628,0,0
M961,POSTLAMINECTOMY SYNDROME,M961,0.9596066,1,1
L89604,Pressure ulcer stage 4 [bilateral heels,L89624,0.9745214,0,0
F5101,primary care is provided for insomnia,F5101,0.94826525,1,1
R0489,pulmonary parenchymal hemorrhage,P261,0.9142616,0,0
S61230A,puncture wound,S01542D,0.9320803,0,0
S61239A,puncture wound,S01542D,0.9320803,0,0
S91133A,puncture wound,S01542D,0.9320803,0,0
S81832A,puncture wound left lower leg,S81842D,0.9552738,0,1
S71131A,puncture wound right thigh,S71141D,0.9599452,0,1
M5010,RADICULOPATHY,M5412,0.9607551,0,0
M50123,radiculopathy,M5412,0.9607551,0,0
H8111,right BPPV,H8111,0.91108215,1,1
M86671,Right foot chronic osteomyelitis,M86671,0.97144043,1,1
S61451A,right hand human bite,S61451D,0.9379295,0,1
M25451,right hip effusion,M25451,0.9872193,1,1
M65861,right knee tenosynovitis,M65851,0.95017004,0,1
I824Y1,right upper leg DVT,I82621,0.9454431,0,0
S3609XA,rupture,I772,0.9528072,0,0
T39095A,salicylate,T39095D,0.9286319,0,1
A0222,salmonella,A021,0.96702045,0,1
N7091,salpingitis,N7001,0.9474874,0,1
L821,Seborrheic keratosis,L821,0.97508323,1,1
A4153,Serratia sepsis,A4153,0.9724555,1,1
M7522,"Severe biceps tendinitis, left shoulder",M7522,0.9570007,1,1
A030,Shiga,A038,0.9288202,0,1
J628,silicosis,D860,0.90010744,0,1
Z371,"single,stillborn",Z370,0.9412389,0,1
C44701,skin cancer of leg,C44799,0.9372878,0,0
R203,skin hyperesthesia,R203,0.97338927,1,1
F450,somatization,F450,0.96657157,1,1
D733,Splenic abscess,D733,0.97366136,1,1
M47896,"SPONDYLOSIS,LUMBAR REGION",M4306,0.98577356,0,1
S6390XA,sprain,K901,0.9438923,0,0
S63611A,Sprain of the left index finger,S63631D,0.968256,0,0
S53401A,sprain of the right elbow,S53491A,0.96045715,0,0
L89322,stage 2 pressure ulcer left buttock,L89322,0.9948857,1,1
L89203,stage III pressure ulcer L hip,L89223,0.9701125,0,0
J1520,Staphylococcus pneumonia,J1529,0.95520055,0,1
Z9484,stem cell transplant,Z9484,0.940897,1,1
S23429A,sternum sprain,S23428A,0.9349841,0,0
R978,steroids were adjusted for tumor finding,R786,0.91425395,0,0
S46819A,strain,B9623,0.8911071,0,0
S46911A,strain,B9623,0.8911071,0,0
S56113A,strain,B9623,0.8911071,0,0
S96219A,strain,B9623,0.8911071,0,0
H00014,stye in left upper eyelid,H02844,0.9217477,0,0
S13180A,subluxation,H27112,0.9413129,0,0
S23110A,subluxation,H27112,0.9413129,0,0
S83103A,subluxation,H27112,0.9413129,0,0
P2911,tachycardia,P2911,0.950335,1,1
P221,Tachypneic,R0682,0.9430001,0,1
S43429A,tear,G9611,0.91900843,0,0
M26609,Temporomandibular joint disorder,M2669,0.96681917,0,0
B354,tinea corporis,B354,1.0000001,1,1
M12561,Traumatic arthropathy of the right knee,M12561,0.99506027,1,1
T43212A,Trazodone,L683,0.8819282,0,0
I483,typical atrial flutter,I483,0.9999999,1,1
O3460,vaginal delivery,O8613,0.91721576,0,0
I999,vascular lesion,Q2732,0.9078607,0,0
H5340,visual field defects and right LE,H53451,0.9515773,0,0
K030,weal throat,R070,0.8818976,0,0
G463,Weber syndrome,D6941,0.9178743,0,0
E8301,Wilson's disease,E8301,0.99999994,1,1
M21339,wrist drop,M21332,0.9618571,0,1
M67439,wrist ganglion,M67431,0.9658644,0,1
T43591A,zyprexa,M25776,0.88145375,0,0
T2112XA,abdominal wall burn,T2102XS,0.94273746,0,0
S0031XA,abrasion,K031,0.9771719,0,0
S00412A,abrasion,K031,0.9771719,0,0
S0081XA,abrasion,K031,0.9771719,0,0
K8032,acute cholangitis,K8309,0.93884736,0,1
N3001,Acute cystitis with hematuria,N3001,1.0000004,1,1
I82629,Acute Upper extremity  DVT,I82621,0.9551622,0,1
K7040,Alcoholic liver failure,K700,0.9616412,0,1
J301,allergic rhinitis due to the pollen,J301,0.99820423,1,1
N912,amenorrhea,N910,0.9543079,0,1
T462X5A,amiodarone,D702,0.8918619,0,0
T43012A,amitriptyline,T43015A,0.89806986,0,0
F1523,amphetamine withdrawal,F1513,0.92380786,0,1
S98919A,amputation,T8781,0.9248623,0,0
G1221,amyotrophic lateral sclerosis,G1221,1.0000001,1,1
Q451,annular pancreas,Q451,0.9999998,1,1
K612,Anorectal abscess,K612,1.0000001,1,1
F13980,Anxiety disorder prn anxiolytics,F13180,0.9217721,0,1
C44211,basal cell carcinoma of ear,C44219,0.96656615,0,1
C44719,Basal cell carcinoma of skin [left leg,C44719,0.97043735,1,1
D3000,Benign neoplasm of kidney,D3001,0.98032063,0,1
H8112,"Benign paroxysmal vertigo, left ear",H8112,1.0000001,1,1
Q513,Bicornuate,Q513,0.91362154,1,1
S91153A,bite,S31835A,0.92435116,0,0
K5733,bleeding per rectum secondary to diverticulitis,K5741,0.9485996,0,0
G245,blepharospasm,G245,1.0,1,1
Z7721,body fluid exposure,Z7721,0.9295961,1,1
P2912,bradycardic,Q241,0.924479,0,0
M50922,C5-C6,G8253,0.9208243,0,0
M50923,C6-C7,G8253,0.9221881,0,0
T43611A,Caffeine,T43615A,0.9229588,0,0
D040,Carcinoma in situ of skin of lip,D040,0.9999998,1,1
T2101XA,chest burn,T2111XD,0.92444855,0,0
I69193,chronic ataxia,G031,0.93298703,0,0
H7010,chronic mastoiditis,H7013,0.9713019,0,1
T465X1A,clonidine,T448X6S,0.89438534,0,0
T405X2A,cocaine,F14188,0.93504286,0,0
R5601,complex partial seizures,R5601,0.9262644,1,1
H902,conductive deafness,H900,0.95710725,0,1
S2020XA,contusion,S0083XS,0.93837476,0,0
S27329A,contusion,S0083XS,0.93837476,0,0
S37019A,contusion,S0083XS,0.93837476,0,0
S60059A,contusion,S0083XS,0.93837476,0,0
Z7151,Counseling for drug abuse,Z7152,0.96929705,0,1
J84116,cryptogenic organizing pneumonia,J84116,1.0,1,1
N503,cyst in the left epididymis,N503,0.97652245,1,1
Z906,cystectomy,N5232,0.9064571,0,0
A811,Dawson's,A5053,0.8877886,0,0
T460X1A,digoxin,T460X6A,0.90625256,0,0
S1320XA,dislocation,S032XXD,0.9346167,0,0
S43006A,dislocation,S032XXD,0.9346167,0,0
S43109A,dislocation,S032XXD,0.9346167,0,0
S63106A,dislocation,S032XXD,0.9346167,0,0
S93123A,dislocation,S032XXD,0.9346167,0,0
Z524,donor kidney,Z524,0.99044955,1,1
O99320,"Drug use complicating pregnancy, unspecified trimester",O99320,0.9999999,1,1
N9410,dyspareunia,N9412,0.9574952,0,1
A519,early syphilis,A515,0.96675235,0,1
N448,Edematous hypervascular appearance of the right testicle,R93811,0.9411622,0,0
Q437,Enterobacter cloaca,Q6412,0.91469955,0,1
Z934,enterostomy,K9412,0.9457258,0,0
A260,erythema migrans,L532,0.9241594,0,0
H5000,esotropia,H5051,0.94411755,0,1
G250,essential tremor,G250,1.0000002,1,1
T732XXA,Exhaustion due to exposure,T732XXD,0.9749315,0,1
C6990,eye cancer,Z85840,0.92296904,0,1
D6851,Factor V Leiden mutation,D66,0.9176658,0,0
Z9885,Failed renal transplant,T8612,0.9482553,0,0
T446X5A,Flomax,M25262,0.87241495,0,0
S02109A,fracture,S025XXK,0.923613,0,0
S02119A,fracture,S025XXK,0.923613,0,0
S12500A,fracture,S025XXK,0.923613,0,0
S22019A,fracture,S025XXK,0.923613,0,0
S32059A,fracture,S025XXK,0.923613,0,0
S32309A,fracture,S025XXK,0.923613,0,0
S32519A,fracture,S025XXK,0.923613,0,0
S4290XA,fracture,S025XXK,0.923613,0,0
S92213A,fracture,S025XXK,0.923613,0,0
S92353A,fracture,S025XXK,0.923613,0,0
S92911A,fracture of right fifth toe,S92351K,0.9575285,0,0
A059,gastroenteritis due to food poisoning,K521,0.9301463,0,0
C160,gastroesophageal junction malignancy,C19,0.9321774,0,0
L920,Granuloma annulare,L920,0.9999999,1,1
C9140,hairy cell leukemia,C9142,0.96400297,0,1
I318,heart on imaging chronic pericarditis,I092,0.9477117,0,0
D216,hemangioma on her back,D1809,0.94210625,0,0
N029,Hematuria,R310,0.9646082,0,0
E349,hormonal imbalance,E631,0.92112136,0,0
K821,hydrops gallbladder,K821,0.9938874,1,1
J679,hypersensitivity pneumonitis,J678,0.9569375,0,1
C880,HYPERVISCOSITY SYNDROME DUE TO LEUKOCYTOSIS,I87322,0.91563404,0,0
E678,hypervitaminosis,E670,0.9836148,0,0
Q040,hypoplasia of the corpus callosum,Q5562,0.94703674,0,0
H20052,hypopyon seen on the left eye,H20052,0.983661,1,1
T39395A,indomethacin,Z791,0.900231,0,1
B889,infestation,B882,0.92762744,0,1
S0000XA,injury,P153,0.9224981,0,0
S14107A,injury,P153,0.9224981,0,0
S199XXA,injury,P153,0.9224981,0,0
S345XXA,injury,P153,0.9224981,0,0
S36209A,injury,P153,0.9224981,0,0
S45109A,injury,P153,0.9224981,0,0
S60942A,injury,P153,0.9224981,0,0
S85509A,injury,P153,0.9224981,0,0
S90933A,injury,P153,0.9224981,0,0
S30862A,insect bite,S30861D,0.9411288,0,0
G40319,intractable,G40804,0.91141576,0,0
G43A1,intractable,G40804,0.91141576,0,0
K581,irritable bowel with constipation,K581,0.99018675,1,1
S1121XA,laceration,S3733XD,0.9326875,0,0
S2191XA,laceration,S3733XD,0.9326875,0,0
S61011A,laceration,S3733XD,0.9326875,0,0
S65514A,laceration,S3733XD,0.9326875,0,0
S91113A,laceration,S3733XD,0.9326875,0,0
Z723,lack of exercise,Z723,0.9769279,1,1
C672,Lateral Wall Bladder Cancer,C672,0.96359336,1,1
Q831,left breast axillary,S45012D,0.92655325,0,0
M25075,left foot hemarthrosis,M25075,0.99366486,1,1
T25022A,Left foot rug burn,T2602XD,0.921159,0,0
L89220,Left hip unstageable pressure ulcer,L89220,0.99035317,1,1
S83002A,Left knee pain due to subluxation,M25562,0.95303786,0,0
J338,Left maxillary polyp,H7442,0.9553034,0,0
M20009,Left middle finger mallet deformity,M20012,0.9425878,0,0
S63615A,left ring finger sprain,S63695D,0.96184665,0,0
M19212,LEFT SHOULDER SECONDARY OSTEOARTHRITIS,M19212,0.9943517,1,1
Z89012,left thumb amputation,S68522D,0.9583174,0,0
K763,liver infarct,K763,0.9608168,1,1
C7900,Lung cancer,C3431,0.92329663,0,0
T82590A,malfunctioning AV fistula,K9403,0.9059405,0,0
M2604,Mandibular hypoplasia,M2604,0.99999964,1,1
C459,mesothelioma,C450,0.9682317,0,1
T403X1A,methadone,T403X5A,0.92272353,0,0
I6781,Mild leukoaraiosis,H1703,0.9083508,0,0
Z22322,MRSA colonization,Z22322,0.9080565,1,1
S22009A,multiple fracture,M8959,0.937474,0,0
C9001,multiple myeloma in remission,C9001,1.0,1,1
J157,mycoplasma pneumonia,J157,0.9640518,1,1
M50022,myelopathy,G992,0.9537266,0,0
E035,Myxedema coma,E035,0.99999994,1,1
C609,neoplasm of penis,D290,0.97775126,0,1
C7490,neoplasm on adrenal gland,D3501,0.95756346,0,1
R351,Nocturia,R351,0.99999964,1,1
A0811,Norovirus,A0811,0.907038,1,1
O4100X0,oligohydramnios,O4102X9,0.95966434,0,0
S01109A,open wound,S01502D,0.91888255,0,0
S1190XA,open wound,S01502D,0.91888255,0,0
S31109A,open wound,S01502D,0.91888255,0,0
S31609A,open wound,S01502D,0.91888255,0,0
S61209A,open wound,S01502D,0.91888255,0,0
Q789,osteodystrophy,N250,0.954998,0,1
M2623,overjet,N39490,0.9242493,0,0
O0943,P6,R231,0.87347656,0,0
K111,parotid enlargement,K061,0.9296059,0,0
C07,parotid glioma,C07,0.92575985,1,1
M84453A,Pathological left hip fracture 2/2 neoplastic disease,M84552D,0.9692259,0,0
Q676,pectus excavatum,Q676,1.0000002,1,1
I280,pEF,M797,0.9038874,0,0
H44529,Phthisis bulbi of eye,B853,0.93178165,0,0
M1651,Post traumatic osteoarthritis right hip,M19111,0.9831352,0,1
G14,Postpolio syndrome,G14,1.0000001,1,1
G933,postviral syndrome,G9331,0.9739436,0,0
H9313,Progressive  bilateral tinnitus,H9313,0.9530814,1,1
D6852,prothrombin gene mutation,D6852,1.0000001,1,1
S01439A,puncture wound,S01542D,0.9320803,0,0
S61234A,puncture wound,S01542D,0.9320803,0,0
S61236A,puncture wound,S01542D,0.9320803,0,0
S81039A,puncture wound,S01542D,0.9320803,0,0
S91032A,puncture wound left ankle,S91042D,0.95505166,0,1
M0230,reactive arthritis,M029,0.9428088,0,0
R10829,rebound tenderness,R10827,0.955919,0,1
C9252,relapse,C9002,0.93055475,0,0
O458X9,retroplacental hemorrhage,O722,0.9044124,0,0
S4351XA,right AC joint sprain,S4351XA,0.9282789,1,1
S90511A,right ankle abrasion,S90511D,0.9646616,0,1
S72309A,right distal femur shaft fracture,S72321K,0.9519361,0,0
C44722,right hip,M25551,0.9590066,0,0
S70211A,right hip abrasion,S70211D,0.9613639,0,1
I82C11,right internal jugular vein with thrombosis,I82C11,0.9758325,1,1
M1731,Right knee post traumatic osteoarthritis,M1731,0.97915554,1,1
M25011,Right shoulder hemarthrosis,M25011,0.99405485,1,1
Z89431,Right transmetatarsal amputation,S68721D,0.9490115,0,0
M21331,right wrist drop,M21331,0.99093604,1,1
Q2547,right-sided aortic arch,Q2547,0.9764073,1,1
A770,Rocky Mountain,Y9331,0.8778362,0,0
S0920XA,rupture,I772,0.9528072,0,0
S36128A,rupture,I772,0.9528072,0,0
S36299A,rupture,I772,0.9528072,0,0
M6284,sarcopenia,M6284,0.9999999,1,1
N501,scrotal hematoma,N5082,0.9312098,0,0
A414,Sepsis secondary to Clostridium difficile infection,A0471,0.94138724,0,1
K5901,Slow transit constipation,K5901,1.0000002,1,1
J705,Smoke Inhalation,J705,0.93191844,1,1
S1234XA,spondylolisthesis,M4316,0.960883,0,0
S339XXA,sprain,K901,0.9438923,0,0
S83409A,sprain,K901,0.9438923,0,0
L89324,stage 4 left buttock pressure ulcer,L89324,0.9946183,1,1
A412,Staph Bacteremia,R7881,0.9283054,0,0
M2560,stiffness in the joint,M25622,0.9373259,0,0
S76019A,strain,B9623,0.8911071,0,0
L906,stretch mark,X509XXA,0.85168624,0,0
S13100A,subluxation,H27112,0.9413129,0,0
S43013A,subluxation,H27112,0.9413129,0,0
S63063A,subluxation,H27112,0.9413129,0,0
S63073A,subluxation,H27112,0.9413129,0,0
L559,sunburn,L559,0.9388427,1,1
T2020XA,superficial burn of face,S0005XA,0.9224504,0,0
A5211,tabes dorsalis,A5211,0.99999994,1,1
Z8672,thrombophlebitis,I821,0.97114646,0,1
G4453,thunderclap headache,G4453,0.9704347,1,1
Z89439,transmetatarsal amputation,S68711D,0.9348728,0,0
I078,tricuspid valve endocarditis,I078,0.94408274,1,1
E883,tumor lysis syndrome,E883,0.9999998,1,1
A0100,typhoid,A0104,0.96773136,0,0
O208,vaginal bleeding before completion of 20 weeks gestation,Z3A20,0.93668604,0,0
C715,ventricular neoplasm,C715,0.9486681,1,1
G450,Vertebrobasilar insufficiency,G450,0.9044261,1,1
H8190,vestibular dysfunction,R94121,0.94118524,0,0
Z3A49,50 weeks pregnant,Z3A30,0.97421384,0,0
H4920,abducent nerve palsy,H4923,0.95049393,0,0
S40812A,abrasion on left upper arm,S40812D,0.9743397,0,1
S70311A,abrasion on the right thigh,S70311A,0.9719439,1,1
S90811A,abrasion to right foot,S90811D,0.96974796,0,1
J387,abscess is near epiglottis,J391,0.923145,0,0
H40211,Acute angle-closure glaucoma [right eye,H40211,0.9934796,1,1
N410,Acute prostatitis,N410,1.0,1,1
A082,Adenovirus,B301,0.93627036,0,0
Z6372,alcohol problem,F10188,0.9090853,0,0
K7011,Alcoholic hepatitis with ascites,K7011,0.9999999,1,1
S48111A,amputation,T8781,0.9248623,0,0
R4584,Anhedonia,R4584,1.0000005,1,1
H5702,Anisocoria,H5702,1.0,1,1
F602,antisocial personality,F602,0.98176444,1,1
F064,associated anxiety,F16180,0.92457217,0,0
M7121,Baker's cyst in the right popliteal fossa,M7121,0.96724796,1,1
H543,Bilateral visual loss,H53133,0.96794724,0,0
S0082XA,blister,S00522D,0.92965317,0,0
S30820A,blister,S00522D,0.92965317,0,0
S90421A,blister on the right great toe,S90421D,0.96569073,0,1
T22211A,burn noted to right forearm,T22011S,0.95257103,0,0
T23251A,Burn second degree to the right palm,T23251D,0.9845643,0,1
T2102XA,burn to L groin,T24392D,0.9017666,0,0
T23302A,burn to right hand and left finger,T22392D,0.94405866,0,0
T23309A,burned his hand,T23362D,0.91817945,0,0
T3110,Burns involving 10-19%,T310,0.97832155,0,1
S303XXA,buttock contusion,S300XXD,0.91814804,0,0
M50921,C4-C5,G8251,0.92235374,0,0
T43615A,caffeine,T43615A,0.9229588,1,1
C410,cancer metastasized to his skull,C410,0.9351449,1,1
H6012,cellulitis left ear,H6012,0.9797776,1,1
H00034,cellulitis Left Upper Eyelid,L03114,0.9758463,0,0
H0019,chalazion,H0019,0.9337929,1,1
T18128A,chicken,W6139XA,0.90268207,0,0
I69398,chronic left-sided weakness,I50812,0.9255569,0,0
G44329,chronic posttraumatic headache,G44321,0.9479086,0,1
A0839,CMV,P351,0.9146816,0,0
T405X5A,cocaine,F14188,0.93504286,0,0
M24519,contracture of the shoulder,M62412,0.9707316,0,0
S0033XA,contusion,S0083XS,0.93837476,0,0
S2691XA,contusion,S0083XS,0.93837476,0,0
S36112A,contusion,S0083XS,0.93837476,0,0
T420X1A,dilantin,A070,0.91593015,0,0
A3689,Diphtheritic peritonitis,A3686,0.9394038,0,0
O99519,"Diseases of the respiratory system complicating pregnancy, unspecified trimester",O99519,0.99999976,1,1
S332XXA,dislocation,S032XXD,0.9346167,0,0
S43139A,dislocation,S032XXD,0.9346167,0,0
S63126A,dislocation,S032XXD,0.9346167,0,0
S63278A,dislocation,S032XXD,0.9346167,0,0
S83116A,dislocation,S032XXD,0.9346167,0,0
S9305XA,dislocation of the left ankle joint,S9305XD,0.9806164,0,1
K119,Disorder of salivary gland [remobal of gland,K118,0.92617404,0,0
S72111A,displaced fracture of the right femur greater trochanter,S72111S,0.9870956,0,1
M273,Dry Socket,E5111,0.90511966,0,0
I82413,"DVT of the bilateral common femoral, profunda femoral",I82413,0.94820577,1,1
R1319,"dysphagia, failure to thrive.",R6251,0.9502424,0,0
P2889,dyspnea,R0609,0.9368355,0,0
Q179,ear deformity,H61112,0.908039,0,0
Q248,ectopic atrial,Q435,0.95512474,0,0
K200,eosinophilic esophagitis,K200,1.0000004,1,1
T445X5A,EPINEPHRINE,I7381,0.8939051,0,1
H04209,epiphora,H04221,0.92737824,0,0
Q398,esophageal duplication,Q625,0.92754155,0,0
T679XXA,excessive heat,W92XXXD,0.9242312,0,0
E3450,Facial Feminization,R29810,0.9108103,0,0
K9409,fistula and having a temporary colostomy,K60512,0.93578297,0,0
C8220,follicular lymphoma,C8287,0.93762684,0,0
