true_code,text,predicted_code,similarity_score,predicted,in_top_5
K5090,acute Crohn's flare,K5080,0.9198712,0,0
I639,acute stroke right MCA,P91821,0.9208845,0,0
M869,Osteomyelitis of the navicular,M86472,0.9367626,0,0
R55,acute syncopal episode #2 head,L89812,0.91024804,0,0
U071,COVID 19   infection,U071,0.9617722,1,1
R0602,short of breath on 15 L nose,R0602,0.92897874,1,1
L089,right 5th finger infection,L03011,0.921844,0,0
K8590,Acute pancreatitis due to alcoholism,K860,0.96598923,0,0
N189,Chronic kidney disease - renal,N181,0.9596901,0,0
S83004A,chronic dislocation of the right knee,M2351,0.96741426,0,0
S0101XA,Scalp laceration - wound,S0102XD,0.9317857,0,1
E11621,left foot diabetic ulcer and abscess,L02612,0.9469538,0,0
R609,pulmonary and interstitial edema,J982,0.93820834,0,0
R208,Loss of sensation noted in bilateral feet,H578A3,0.9305539,0,0
I82432,Deep venous thrombosis in the left popliteal,I82432,0.9587488,1,1
H00016,"left eyelid wtih ""stye",H02866,0.908772,0,0
W19XXXA,fall with dysarthria,I69822,0.932492,0,0
T383X5A,glipizide,V9623XS,0.8898613,0,0
L03114,Cellulitis of Left Arm,L03114,0.9752566,1,1
J939,left lung base pneumothorax,D1432,0.9195369,0,0
L089,"infection, skin",P394,0.93878394,0,1
M1990,osteoarthritis with effusion,M25451,0.93395776,0,0
R400,drowsy and came back,V9203XA,0.90793395,0,0
R0689,hypercapnia bilateral chest,J9612,0.94815135,0,0
E785,hyperlipidemia  admitted with a septic shock,R6521,0.92364466,0,0
K6389,pneumatosis intestinalis,B59,0.9012315,0,1
R109,"Abdominal pain, 2) Hypokalemia ",E876,0.939481,0,0
S383XXA,nail had avulsed,S080XXD,0.8874272,0,0
I509,transfusion could push him into worsened CHF,Y630,0.91379154,0,0
K8590,"sepsis secondary to pancreatitis, acute on chronic renal failure",K8530,0.9236549,0,1
R413,mild amnesia,R413,0.9234852,1,1
N135,LEFT URETERAL STRICTURE,D3022,0.93488634,0,0
R0902,hypoxic in 4 liteer of nasal,J9601,0.89779675,0,0
E43,GENERAL:  Thin severely malnourished,R636,0.90859854,0,0
E7800,"HIGH CHOLESTEROL, Stroke ",I2583,0.92058915,0,0
F17210,cigarette use,Z720,0.95283246,0,0
T23209A,Hand Burn,T22392A,0.92667353,0,0
I639,"seizures (last was 4 yrs ago) 2/2 CVA, GERDs",Z820,0.91144276,0,0
J690,Right lower lobe aspiration pneumonia,C3431,0.91689706,0,0
K769,acute liver disease,K712,0.9549161,0,0
K7689,cyst within the central liver,Q446,0.92357117,0,0
R5381,Debility sepsis,R54,0.9048749,0,0
E1165,"uncontrolled DM, tachycardia ",R000,0.9199096,0,0
M545,left posterior lower back pain,M79662,0.95240384,0,0
I10,primary) hypertension,I10,0.9652267,1,1
R0789,persistent chest wall pain,G8922,0.92320997,0,1
I959,Hypotension sepsis,I953,0.9458783,0,0
R609,left ankle edema,M25472,0.94946426,0,0
S83003A,subluxation patella,M2212,0.9516303,0,0
N9489,pain right ovary,N50811,0.9496867,0,0
R5381,Debility secondary to the infection,R54,0.92101985,0,0
M179,arthritic changes in knee,T7841XS,0.9258148,0,0
M79602,left arm pain,M79602,0.9925509,1,1
N209,Urinary Stone,N218,0.9280071,0,0
J069,uri - PAIN,R3915,0.9099737,0,0
K810,gallbladder inflammation,K82A1,0.93622446,0,1
T703XXA,squeeze of the hand,R067,0.9014628,0,0
R079,chest pain that radiates to her neck,R0789,0.92364466,0,0
I509,coronary artery disease with the congestive heart failure,I5042,0.9447254,0,0
W19XXXA,Recurrent Fall,R296,0.9417568,0,0
Z3A33,30 weeks pregnant,Z3A30,0.98911035,0,0
R7989,"elevated BNP levels, elevated liver",R7401,0.9260607,0,0
R109,abdominal pain across upper abdomen,R1010,0.95830035,0,0
M7989,Feet swollen,M79672,0.8826263,0,0
N9489,right lower adnexal pain,R1031,0.9460244,0,0
R1030,lower abdominal pain pain,R1030,0.952824,1,1
A419,"Confusion -Multifactorial- from Sepsis , Alcohol withdrawal",F10231,0.9255168,0,0
R1110,vomiting after anesthesia,K910,0.9347708,0,0
R55,collapse 2/2 bradycardia,R55,0.9206023,1,1
M1A9XX0,gout,M109,0.9322629,0,0
E6601,"chronic kidney disease due to hypertension, morbid obesity",I151,0.945283,0,0
C7800,thyroid cancer,C73,0.94708073,0,0
Z8673,CVA with a chronic,J310,0.9319241,0,0
M545,lumbar spine as noting low back pain,M5459,0.9495038,0,0
R7309,Abnormal blood sugar,R7981,0.9503932,0,1
H209,traumatic iritis,A1854,0.91554976,0,0
N189,CKD hypoxia,D631,0.91336226,0,0
N250,artery is a 50% tubular,I7092,0.8974545,0,0
R42,vestibular training for vertigo,H81313,0.8990048,0,0
S7000XA,contusion to hip,S7002XD,0.95453763,0,0
L0390,Dental cellulitis,L03211,0.94340086,0,0
R710,Mild drop in hemoglobin,R710,0.91922855,1,1
D638,Anemia  Of chronic disease,D631,0.9672992,0,1
I4891,atrial fibrillation slow ventricular,I4901,0.93621904,0,0
K56609,Persistent small bowel obstruction,K50012,0.9274672,0,0
M79659,pain to R thigh,M79651,0.9611157,0,0
R1312,oropharyngeal dysphagia from his stroke,I69891,0.93480897,0,1
I871,Severe vena cava syndrome,Q260,0.9324817,0,0
R609,edema in the leg and foot,H02842,0.93210864,0,0
B9689,gram-negative bacteremia due to pyelonephritis,J1569,0.9442614,0,0
J069,"URI, sinusitis ",J0190,0.9146001,0,0
J9819,right middle lobe collapse,H7011,0.9036369,0,0
R0602,"sob, chills.",R6883,0.9303787,0,0
J811,asymptomatic pulmonary edema,J811,0.9135504,1,1
B9620,Acute urinary tract infection due to e coli,A4151,0.9509336,0,0
I099,RHD,Z3182,0.91525626,0,0
K432,inflammation along witniahe ventral incisional hernia,N7689,0.90759134,0,0
R109,pain to palpation in the abdomen,R10813,0.92253935,0,0
E8770,fluid overload as well as cellulitis,E8779,0.9295286,0,0
Z8719,"upper GI bleed, needs L atrial",K2901,0.89029145,0,0
I96,RIGHT FOOT GANGRENE,M79671,0.9342803,0,0
I313,left pericardial effusion,M25472,0.95339334,0,0
I96,"gangrenous changes noted of the left dorsal proximal great toe, third toe and the dorsal fifth toe",S92412B,0.9326508,0,0
K8020,abdomen reads:  Cholelithiasis,K653,0.90493923,0,0
U071,COVID point Needs tx for asthma,Z1152,0.87419856,0,0
E7800,"High Cholesterol,  anemia ",D631,0.9219905,0,0
A312,Pulmonary Mycobacterium avium complex infection,A310,0.9543663,0,1
R1032,pain to left lowe abdomen,R10814,0.9485982,0,1
D62,acute blood loss anemia  EGD  done shows grade D esophagitis,K2101,0.9211598,0,0
K7460,"cirrhosis, stage IV",N184,0.91605234,0,1
M25569,knee pain,M25562,0.95415556,0,0
S060X0A,"concussion, mild",F320,0.92660797,0,1
R32,"incontinence, urinary retention",N39492,0.93137944,0,0
R109,"Left flank pain, likely secondary to the pyelonephritis",M25552,0.93145823,0,0
R109,abdominal pain  Should be administered on an empty  stomach,R198,0.91471064,0,0
S0181XA,laceration on forehead,S0182XD,0.9382519,0,0
R109,Abdominal pain [with sepsis,R6521,0.93308437,0,0
Z3A08,two months pregnant,Z3A22,0.9544311,0,0
Z9221,chemotherapy for esophageal,K200,0.9059557,0,0
A239,Mediterranean fever is not well controlled,R502,0.8786907,0,0
N400,prostatism,N410,0.93150437,0,0
D638,Anemia Likely from chronic disease,D638,0.95417094,1,1
S022XXA,Right Nasal fracture,S022XXB,0.9382086,0,1
I213,myocardial infarction requiring the cardiac catheterization,I2111,0.9225583,0,0
D701,leukopenia associated with chemotherapy,D6481,0.9277456,0,1
Z7901,on anticoagulation for right leg,M79604,0.931602,0,0
R52,Acute pain in left foot,M79672,0.9827844,0,0
U071,"COVID-19 infection, hypoxemia ",U071,0.92436385,1,1
I509,Hypertensive heart failure,I110,0.9855639,0,0
I509,multiple comorbidities including congestive heart failure,I5042,0.9383625,0,0
I96,Right lower extremity gangrene,T8753,0.9388513,0,0
I214,Acute non-ST segment elevation myocardial infarction [Type 2,I21A1,0.9501157,0,0
I96,osteomyelitis as well as gangrene,A5443,0.9514464,0,0
N390,UTI -sepsis,A4151,0.9210141,0,0
B182,chronic hepatitis C infection,B182,0.9830272,1,1
I639,acute to subacute CVA,N763,0.93550444,0,0
I8290,"thrombus, that could certainly give fever.",I236,0.91468287,0,0
I10,HTN presents for chest,D5701,0.92002684,0,0
M25579,acute R foot ankle pain,M25571,0.92953634,0,0
E8342,"Hypomagnesemia, chronic",E8342,0.95426923,1,1
G8929,chronic pain due to gout,M1A38X1,0.94665265,0,0
G44009,Cluster Headache,G44021,0.949812,0,1
M542,"right shoulder pain, neck",M25511,0.9740946,0,0
Z992,ESRD (improved with HD,Y841,0.90305895,0,0
M109,"Gout, clinically stable",M1A39X0,0.9040488,0,0
L0390,cellulitis right thumb,L03011,0.9692576,0,0
H9190,hearing loss from EAC obstruction,H68111,0.92161465,0,0
R079,chest pain w/hyponatremia,R071,0.92007834,0,0
R109,severe excruciating left flank pain,M25522,0.9186648,0,0
I5021,Acute Systolic CHF,I5021,0.9672462,1,1
H538,blurry vision R eye,H5462,0.89894193,0,0
R112,"N/V, still with diarrhea",R197,0.8999067,0,0
R197,intermittent episodes of diarrhea,K580,0.91991913,0,0
B952,Pseudomonas as well as Enterococcus,B952,0.9206391,1,1
R7881,Gram-negative UTI,A4159,0.9424149,0,0
R600,lip edema,J384,0.9358804,0,1
U071,Covid 19- pneumonia,U071,0.96079016,1,1
D649,"Anemia, mild iron deficiency",D508,0.9590457,0,0
R1013,midline epigastric pain,R1013,0.9480369,1,1
E8351,back into the hospital for hypocalcemia,E8351,0.9255245,1,1
N19,"renal failure, sepsis ",R6521,0.93921435,0,0
S383XXA,human bite right forearm and left knee,S51851D,0.9332306,0,0
K5790,Diverticula in the colon,K382,0.9532692,0,0
K7460,liver cirrhosis with end-stage renal disease,N186,0.9515177,0,0
J189,Pneumonia with hypoxia,J9601,0.939662,0,0
M79673,pain to her foot,M79672,0.948145,0,0
Z3A10,estimated gestational age of  10 weeks,Z3A10,0.970417,1,1
S9031XA,acute right foot contusion,S9031XA,0.9627638,1,1
Z87440,multiple rounds of UTI,Z1624,0.9023968,0,1
N400,"BPH, coronary",N401,0.89629346,0,1
M069,RA,M06041,0.92158103,0,0
A4901,MSSA infection,A4101,0.9122856,0,1
I739,peripheral vascular disease as a cause of his wound,E0852,0.9268421,0,0
Z931,"G-tube necessary for his nutrition, multiple sclerosis ] ",R7302,0.8801342,0,0
I639,Acute large middle cerebral ischemic stroke,I63412,0.9317863,0,0
D696,thrombocytopenia most likely related to her pancreatitis,D75828,0.9103894,0,0
R0602,"shortness of breath, lower extremity",R0602,0.9656404,1,1
Z5321,signed out AMA,A063,0.8581706,0,0
M542,Neck Pain,R070,0.9198011,0,0
J8410,chest today suggests that she does have some pulmonary fibrosis,J84178,0.9246168,0,0
R109,Abdominal pain w/diarrhea,K580,0.93657684,0,0
I639,stroke has caused left-sided paralysis,I69362,0.9470575,0,0
F10239,"Confusion -Multifactorial- from Sepsis , Alcohol withdrawal",F10231,0.9255168,0,0
U071,"Covid 19, anxiety ",U071,0.9334613,1,1
E872,metabolic acidosis - is mild,E8721,0.94256485,0,0
E1165,diabetes type 2- controlled,E1165,0.9313263,1,1
S383XXA,Laceration of 3rd finger,S66222A,0.92578053,0,0
R234,scabs on right lower leg,M79661,0.9289647,0,0
L8994,Stage 4 pressure ulcer,L89894,0.97561,0,1
S7290XA,"fractured above, just behind the femoral condyle",S72411P,0.9430003,0,0
E119,diabetes on hemodialysis,E1122,0.92986,0,0
U071,COVID - like illness,J1281,0.9147419,0,1
D649,anemia of renal failure,D631,0.9675832,0,0
R45851,"suicidal attemtp, alcohol abuse ",T38812S,0.90839016,0,1
L03115,Right knee cellulitis,L03115,0.96119964,1,1
I674,hypertensive encephalopathy,I674,0.9999998,1,1
Z794,total 15 units insulin,E1065,0.89545155,0,1
N179,AKI: improved renal,N178,0.90182644,0,0
I776,right ankle vasculitis,M05271,0.9679277,0,0
B001,Herpes labialis,B0081,0.91979015,0,0
I82409,left lower extremity venous Doppler sonogram for deep venous thrombosis,I82492,0.9393179,0,0
R7982,"CRP elevated, increased steroids ",R7982,0.95062315,1,1
K439,Acute incarcerated ventral hernia,N762,0.9187667,0,1
H02402,left sided ptosis,H57812,0.946282,0,1
I739,severe right lower extremity peripheral vascular disease,I87391,0.9379698,0,0
I5030,CHF (combined diastolic/systolic,I5042,0.9606627,0,0
Z8719,acute on chronic pancreatitis,K861,0.944666,0,0
K7460,"liver cirrhosis, esophageal",K7031,0.9383228,0,0
M62830,"Muscle spasm, back",M62830,0.9910102,1,1
R6889,distal pericolonic stranding hyperemia,K51511,0.9016623,0,0
N200,right 6mm renal stone,M10351,0.9028483,0,0
M869,Acute on chronic osteomyelitis of ankle,M86672,0.95424664,0,0
R112,n/v anxiety,F0154,0.89801407,0,0
H8110,mild positional vertigo,H8112,0.92822003,0,1
K5730,sigmoid colon diverticulosis,C187,0.9381535,0,0
E8770,exacerbation (fluid overload,J441,0.92053896,0,0
E1165,uncontrolled type 2 diabetes,E1165,0.92950016,1,1
J1282,"COVID-19 pneumonia, hypoxia.",U071,0.9227222,0,0
M6282,Rhabdomyolysis IVFs recheck CK Q6H x 4 pain,M6282,0.89724743,1,1
H9209,"ear pain, swelling ",R1906,0.9170679,0,0
I10,"HTN, Sickle Cell",D573,0.9482502,0,0
J9811,Right upper lobe airspace opacities may be secondary to atelectasis,J682,0.9247834,0,0
Z7901,on anticoagulation secondary to the hematuria,T45515D,0.91818696,0,0
R6520,Severe sepsis secondary to pneumonia,A403,0.95771384,0,0
I69391,"cerebrovascular accident, leads to dysphagia",I69891,0.96008587,0,1
M940,costochondritis right costal margin,M94351,0.91918564,0,0
M869,local osteomyelitis,M86322,0.93081164,0,0
D696,back here as he has significant thrombocytopenia,D6959,0.92238927,0,0
N200,Acute renal calculi,N10,0.9345879,0,1
R0602,mild improvement in the shortness of breath,R0602,0.9584514,1,1
Z658,ETOH pancreatitis,K860,0.9329823,0,0
M79631,right forearm give pain,M79631,0.9890424,1,1
E11621,left plantar diabetic foot ulcer,M79672,0.937752,0,0
Z930,tracheostomy to enhance her pulmonary,J951,0.8965559,0,0
D696,platelet count remained low platelet count,D72818,0.90848064,0,1
M1612,severe DJD of left hip,M25552,0.9224236,0,0
M8660,Chronic osteomyelitis of the left lower extremity,M86652,0.9667984,0,0
L299,pruritus present at the areas of her rash,L2989,0.9161745,0,0
J189,infection from the lungs,B671,0.93354696,0,0
I629,Right basal ganglia intracranial hemorrhage,H3561,0.9210402,0,0
F419,anxiety seen in ED for abdominal,M9909,0.90917754,0,0
R188,Mild reactive ascites in the right lower quadrant in the pelvis,R1903,0.9320653,0,0
I2510,right sided coronary artery atherosclerosis,I70291,0.9301662,0,0
R609,abdomen body wall edema,L03311,0.92335784,0,0
R0789,chest discomfort radiating to left arm,M79602,0.953641,0,0
R197,"Diarrhea, most likely due to colitis",A0471,0.93436766,0,0
M179,OA of right knee,M25561,0.9589522,0,0
K769,lesion within the spleen and liver,D733,0.935008,0,0
Z8673,TIA in 2021 -MRI brain,Z8673,0.9035219,1,1
S4992XA,injury to left shoulder,M25512,0.95586383,0,0
Z992,ESRD: Dialysis,Y841,0.92432356,0,0
M25552,Left hip is painful,M25552,0.9815646,1,1
Z7401,bedbound status admitted with severe,Z7401,0.9104279,1,1
J189,"PNEUMONIA, JAUNDICE ",P582,0.93056417,0,0
E860,dehydrated,E860,0.9538406,1,1
Z794,uncontrolled in 400s-500 required additional Insulin,O24434,0.8942317,0,0
G5620,cubital tunnel syndrome,G5752,0.92658913,0,0
J439,emphysema with atelectasis,J9811,0.9457801,0,1
D500,anemia - likely GI bleed,K250,0.91445285,0,0
N289,nephropathy CKD,E1021,0.92152524,0,0
M533,pain in the coccyx,S322XXS,0.9096377,0,0
I96,gangrenous right foot toes,L03031,0.9371755,0,0
Z8674,Recurrent Codes- cardiac arrest,F338,0.90711427,0,0
I509,"chf, pleural effusion ",J918,0.9218942,0,0
I509,"CHF, anemia ",D500,0.9271349,0,0
Z8619,sepsis due to cellulitis,A414,0.9423423,0,0
I10,"hypertension, SARS ",I151,0.9018159,0,0
R45851,suicidal,R45851,0.96387094,1,1
J90,bilateral pleural effusion  and pericardial,I3131,0.9337771,0,0
M79606,Acute on chronic right leg pain,M79604,0.95306313,0,0
H6590,"SEROUS OTITIS MEDIA, PURULENT OTITIS ",H6503,0.95288193,0,0
E119,"diabetes, hydrocele ",N432,0.92021155,0,0
R1013,acute epigastric pain,R1013,0.97746503,1,1
F17200,tobacco abuse affecting the lungs,T65222D,0.92903876,0,0
M4640,"diskitis, osteomyelitis.",M4621,0.93935335,0,0
M7989,foot is swollen,S93525S,0.89938354,0,0
J441,COPD exacerbation was treated with steroids,J441,0.92348844,1,1
K922,intermittent gastric bleeding,K2901,0.9350078,0,0
J449,Screen COPD,Z1383,0.90963167,0,0
I493,multiple premature ventricular contractions,I493,0.9161181,1,1
E876,"Hypokalemia , mild",E876,0.96986794,1,1
C20,metastatic rectal cancer,C20,0.9316508,1,1
Z8739,right tibial osteomyelitis,M87861,0.95092964,0,0
M4856XA,Lumbar spine compression fracture,S32010K,0.93480504,0,0
Z8719,ulcerative colitis w/perforation,K261,0.9275886,0,0
C50919,Metastatic breast cancer,C4352,0.9176167,0,0
I872,Lt venous stasis,I87322,0.90795624,0,0
M549,spine had pain,M546,0.9391349,0,0
R0602,"sob, anxiety  improved ",F13280,0.90459394,0,0
J9690,respiratory failure due to COPD,J9611,0.93793875,0,0
M8660,chronic osteomyelitis over roughly a 2 cm segment,M8649,0.94269323,0,0
I2699,pulmonary embolism pleural effusion,J910,0.9368447,0,0
I10,"Hypertension, reasonably well controlled",I110,0.9096373,0,1
E46,chronic malnutrition with chronic blood loss,D500,0.94324446,0,0
E119,"diabetes, carotid",E1159,0.92129016,0,0
J9601,acute  hypoxemic respiratory failure with hypercapnia,J9602,0.9885646,0,0
B966,Anaerobic culture grew Bacteroides fragilis,B966,0.89528173,1,1
R739,Hyperglycemia in known Diabetic,E1065,0.948178,0,0
N4822,Cellulitis of penis,N4822,0.97816867,1,1
L0390,abdominal cellulitis,L03311,0.9868601,0,0
K4090,Left inguinal hernia containing the left ovary,N8342,0.9530143,0,0
A419,severe sepsis due to E. coli,A4151,0.9804014,0,0
N182,CKD2,E1122,0.9340787,0,1
K909,Malabsorption syndrome,K9089,0.92605835,0,1
E785,hyperlipidemia was scheduled for right hip,M25051,0.9136155,0,0
M1612,severe osteoarthritis of the left hip,M1612,0.96020156,1,1
A419,Sepsis complicated,R6521,0.930686,0,0
M7989,leg little bit swollen,R2242,0.90395105,0,0
J189,infection such as COVID-19 related pneumonitis,U071,0.93082494,0,0
M169,Degenerative joint disease of the left hip,M1632,0.9473932,0,0
I509,"congestive heart failure, coronary artery",I5022,0.93819773,0,0
E212,"Hyperparathyroidism -  PTH is elevated, likely from his renal disease",N2581,0.9506904,0,1
K439,Leukocytosis Ventral hernia,I83228,0.8999344,0,0
I2510,vessels coronary artery disease,I25110,0.9250957,0,1
J9601,Acute Hypoxic Respiratory Failure due to PJP pneumonia,J9601,0.93077445,1,1
S0590XA,right eye contusion,S0011XD,0.95039046,0,0
R6510,systemic inflammatory response syndrome secondary to pancreatitis,R6511,0.9381679,0,1
L0211,"Abscess, Left neck",H6002,0.9534023,0,1
B9562,Wound CX grew MRSA,B9562,0.88669527,1,1
I780,Osler-Weber-Rendu disease,E7601,0.8950975,0,0
Z940,liver and kidney transplant,Z526,0.9268365,0,0
B9562,left knee septic arthritis due to methicillin-resistant Staphylococcus aureus,A4102,0.96782357,0,0
K760,abdominal ultrasound: Hepatic steatosis,K700,0.91679466,0,1
B353,tinea pedis in the leg,B353,0.97006875,1,1
